id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,price_usd,volume_24h_usd,percent_change_1h_usd,percent_change_24h_usd,percent_change_7d_usd,market_cap_usd,last_updated_usd
1,Bitcoin,BTC,bitcoin,7733,2013-04-28T00:00:00.000Z,['Mineable'],21000000,18286125,18286125,,6630.21768755,46241449293.426,0.0997953,0.243708,27.8303,121240989411.75024,2020-03-25T15:55:38.000Z
1027,Ethereum,ETH,ethereum,5090,2015-08-07T00:00:00.000Z,['Mineable'],,110243387.499,110243387.499,,136.187809216,13806648182.8887,0.0849365,-0.635394,20.1248,15013805424.039371,2020-03-25T15:55:24.000Z
52,XRP,XRP,xrp,499,2013-08-04T00:00:00.000Z,[],100000000000,43906191900,99991030755,,0.160590971588,2122214789.28031,-0.0145547,-0.100169,12.6335,7050938015.950176,2020-03-25T15:55:04.000Z
825,Tether,USDT,tether,4239,2015-02-25T00:00:00.000Z,[],,4642367414,4776930644,"{'id': 83, 'name': 'Omni', 'symbol': 'OMNI', 'slug': 'omni', 'token_address': '31'}",1.00322578939,54085567928.9582,0.304387,0.00478523,1.17417,4657342713.548563,2020-03-25T15:55:24.000Z
1831,Bitcoin Cash,BCH,bitcoin-cash,457,2017-07-23T00:00:00.000Z,['Mineable'],21000000,18350062.5,18350062.5,,219.278391852,3458026727.04231,0.234975,-1.87628,24.1265,4023772195.383691,2020-03-25T15:55:08.000Z
3602,Bitcoin SV,BSV,bitcoin-sv,172,2018-11-09T00:00:00.000Z,['Mineable'],21000000,18347327.0819233,18347327.0819233,,171.369373566,2612977075.33769,-0.0303632,-1.96,49.0684,3144169948.639703,2020-03-25T15:55:12.000Z
2,Litecoin,LTC,litecoin,570,2013-04-28T00:00:00.000Z,['Mineable'],84000000,64361068.2031291,64361068.2031291,,39.0243395854,3155647034.37596,-0.0758463,-1.02694,17.1847,2511648181.638,2020-03-25T15:55:07.000Z
1765,EOS,EOS,eos,376,2017-07-01T00:00:00.000Z,[],,921053647.6394,1017753659.4379,,2.29289369531,2634445726.99084,-0.0901933,-1.29681,18.7653,2111878101.7146587,2020-03-25T15:55:08.000Z
1839,Binance Coin,BNB,binance-coin,306,2017-07-25T00:00:00.000Z,[],187536713,155536713,187536713,,12.2858006523,325037734.835458,-0.0746523,0.573756,22.508,1910893050.031998,2020-03-25T15:55:09.000Z
2011,Tezos,XTZ,tezos,71,2017-10-06T00:00:00.000Z,[],,704855179.539055,704855179.539055,,1.70750180611,151496483.285602,0.234152,-0.858918,28.2448,1203541492.1089246,2020-03-25T15:55:05.000Z
