id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,price_usd,volume_24h_usd,percent_change_1h_usd,percent_change_24h_usd,percent_change_7d_usd,market_cap_usd,last_updated_usd
2083,Bitcoin Gold,BTG,bitcoin-gold,72,2017-10-23T00:00:00.000Z,['Mineable'],21000000,17513923.589,17513923.589,,7.45585287087,22390718.1317123,-0.164637,-1.21987,22.689,130581237.47124349,2020-03-25T15:53:06.000Z
4642,Hedera Hashgraph,HBAR,hedera-hashgraph,19,2019-09-17T00:00:00.000Z,[],,3816091538,50000000000,,0.033540721141,11975543.5435609,-0.0203699,1.48676,-4.65285,127994462.1245878,2020-03-25T15:53:15.000Z
1214,Lisk,LSK,lisk,59,2016-04-06T00:00:00.000Z,[],,122703682.968591,138789394,,1.0180082501,5218270.34614252,0.0381671,-0.653845,1.41042,124913361.57968052,2020-03-25T15:53:04.000Z
1168,Decred,DCR,decred,48,2016-02-10T00:00:00.000Z,['Mineable'],21000000,10786830.8782284,10786830.8782284,,11.4189540679,78529893.7572429,0.169422,-0.502647,18.6306,123174326.3366955,2020-03-25T15:53:04.000Z
1684,Qtum,QTUM,qtum,168,2017-05-24T00:00:00.000Z,[],107822406,96479640.0484598,102229660,,1.23739639172,361797674.09443,0.0231413,-1.46097,17.9231,119383558.47040856,2020-03-25T15:53:07.000Z
2099,ICON,ICX,icon,58,2017-10-27T00:00:00.000Z,[],,530203313.05252,800460000,,0.203393596265,17389785.2855187,0.139626,0.495084,17.6217,107839958.59336965,2020-03-25T15:53:08.000Z
3351,ZB Token,ZB,zb-token,12,2018-09-27T00:00:00.000Z,[],,463288810,2100000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xbd0793332e9fb844a52a205a233ef27a5b34b927'}",0.232420941807,39152038.4651397,-0.646192,-0.762752,8.97004,107678021.54884428,2020-03-25T15:53:12.000Z
4030,Algorand,ALGO,algorand,70,2019-06-20T00:00:00.000Z,['Mineable'],,661661372.747958,3192933215.74796,,0.155327937225,51391015.3672948,0.386774,-0.529752,16.032,102774496.17040212,2020-03-25T15:53:14.000Z
1896,0x,ZRX,0x,167,2017-08-16T00:00:00.000Z,[],,641639028.042216,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xe41d2489571d322189246dafa5ebde1f4699f498'}",0.150391014623,18379371.3348882,0.18449,-1.83436,7.9372,96496744.4489844,2020-03-25T15:53:06.000Z
2586,Synthetix Network Token,SNX,synthetix-network-token,12,2018-03-14T00:00:00.000Z,[],,174332066.91215,175842379.161986,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc011a72400e58ecd99ee497cf89e3775d4bd732f'}",0.541960374053,2404660.9285654,-1.39353,10.33,23.5859,94481072.19314145,2020-03-25T15:53:07.000Z
1104,Augur,REP,augur,70,2015-10-27T00:00:00.000Z,[],,11000000,11000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1985365e9f78359a9b6ad760e32412f4a445e862'}",8.43499403084,30329169.558783,0.181602,-1.2017,12.5192,92784934.33924,2020-03-25T15:53:03.000Z
2222,Bitcoin Diamond,BCD,bitcoin-diamond,26,2017-11-24T00:00:00.000Z,['Mineable'],210000000,186492897.953,189492897.953,,0.493404804804,7615170.35907551,0.25355,-0.0162734,28.0593,92016491.91183226,2020-03-25T15:53:06.000Z
1274,Waves,WAVES,waves,161,2016-06-02T00:00:00.000Z,[],,101489686,101489686,,0.906299783277,52575925.6860632,0.148728,-1.81308,10.4291,91980080.42665078,2020-03-25T15:53:04.000Z
2087,KuCoin Shares,KCS,kucoin-shares,14,2017-10-24T00:00:00.000Z,[],,81850451,171850451,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x039b5649a59967e3e936d7471f9c3700100ee1ab'}",1.1064723154,4855646.22194114,0.388278,-3.20401,7.05403,90565258.03450425,2020-03-25T15:53:06.000Z
2577,Ravencoin,RVN,ravencoin,45,2018-03-10T00:00:00.000Z,['Mineable'],21000000000,5797530000,5797530000,,0.0150013686588,6677504.88250665,0.64795,0.980687,20.0663,86970884.84045276,2020-03-25T15:53:10.000Z
1982,Kyber Network,KNC,kyber-network,59,2017-09-24T00:00:00.000Z,[],,179633071.574655,211264620.393519,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdd974d5c2e2928dea5f71b9825b8b646686bd200'}",0.467415019414,37237390.3696759,0.468459,-0.154799,7.00631,83963195.63746381,2020-03-25T15:53:07.000Z
213,MonaCoin,MONA,monacoin,9,2014-03-20T00:00:00.000Z,['Mineable'],,65729674.8711679,65729674.8711679,,1.24121048301,6092561.73173123,-0.504075,-0.905554,16.2757,81584361.49493256,2020-03-25T15:53:02.000Z
4943,Multi-collateral DAI,DAI,multi-collateral-dai,77,2019-11-22T00:00:00.000Z,[],,80410756.310242,80670248.952387,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6b175474e89094c44da98b954eedeac495271d0f'}",0.998737601263,12571656.1533647,0.0225102,0.337319,0.0863636,80309245.87303473,2020-03-25T15:53:15.000Z
1776,MCO,MCO,crypto-com,54,2017-07-03T00:00:00.000Z,[],,15793831.0949625,31587682.3632061,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb63b606ac810a52cca15e44bb630fd42d8d1d83d'}",4.61594207939,35512745.6238461,0.402101,1.36972,58.7761,72903409.54601564,2020-03-25T15:53:06.000Z
1808,OmiseGO,OMG,omisego,197,2017-07-14T00:00:00.000Z,[],,140245398.245133,140245398.245133,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xd26114cd6EE289AccF82350c8d8487fedB8A0C07'}",0.506225467261,135603877.114656,-0.639775,-2.05692,12.6886,70995792.25784749,2020-03-25T15:53:07.000Z
1567,Nano,NANO,nano,49,2017-03-06T00:00:00.000Z,[],133248297.197,133248297.197,133248297.197,,0.497176063082,6010745.65460643,1.1459,-1.4217,35.2199,66247863.812784754,2020-03-25T15:53:05.000Z
1230,Steem,STEEM,steem,31,2016-04-18T00:00:00.000Z,[],,367683336.29,384657430.29,,0.177020454907,4778385.03489018,0.9731,-6.19445,5.53497,65087471.45177926,2020-03-25T15:53:04.000Z
3139,DxChain Token,DX,dxchain-token,8,2018-08-10T00:00:00.000Z,[],,49999999999.6862,100000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x973e52691176d36453868D9d86572788d27041A9'}",0.00128129548291,1497014.07384357,-0.501579,-0.596162,2.26101,64064774.14509793,2020-03-25T15:53:10.000Z
2130,Enjin Coin,ENJ,enjin-coin,58,2017-11-01T00:00:00.000Z,[],,814772129.064264,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c'}",0.0782167557137,6829834.69088257,0.242658,1.3641,59.9394,63728832.58135079,2020-03-25T15:53:06.000Z
2416,THETA,THETA,theta,28,2018-01-17T00:00:00.000Z,[],,870502690,1000000000,,0.0695770500909,3214420.24547116,0.0676877,1.45566,27.2862,60567009.26639319,2020-03-25T15:53:07.000Z
1866,Bytom,BTM,bytom,52,2017-08-08T00:00:00.000Z,['Mineable'],,1002499275,1407000000,,0.0574895466319,13740221.2127811,0.0282895,-3.0236,17.2693,57633228.81855844,2020-03-25T15:53:05.000Z
2694,Nexo,NEXO,nexo,22,2018-05-01T00:00:00.000Z,[],,560000011,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206'}",0.102636384721,8397164.67861736,0.76335,-5.75711,18.1425,57476376.57276024,2020-03-25T15:53:10.000Z
2682,Holo,HOT,holo,63,2018-04-29T00:00:00.000Z,[],,163924509213.415,177619433541.141,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6c6ee5e31d828de241282b9606c8e98ea48526e2'}",0.000345960649516,5660670.87730466,1.77603,6.79715,16.1814,56711429.67906458,2020-03-25T15:53:10.000Z
1042,Siacoin,SC,siacoin,39,2015-08-26T00:00:00.000Z,['Mineable'],,41817047634,41817047634,,0.00129877566234,960485.015557373,0.759649,-0.772228,22.888,54310963.73795168,2020-03-25T15:53:03.000Z
1358,EDC Blockchain,EDC,edc-blockchain,6,2016-08-24T00:00:00.000Z,['Mineable'],100000000000,2670646025,5330754414.894,,0.0200762944526,45758.6723093574,1.95257,796.451,693.021,53616675.97656574,2020-03-25T15:53:04.000Z
3437,ABBC Coin,ABBC,abbc-coin,41,2018-10-12T00:00:00.000Z,['Mineable'],,555416924.350722,1003278750.0109,,0.0949149175495,31047405.3345041,-0.966815,-1.51194,-4.05135,52717351.58034565,2020-03-25T15:53:11.000Z
1229,DigixDAO,DGD,digixdao,22,2016-04-18T00:00:00.000Z,[],,2000000,2000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xe0b7927c4af23765cb51314a0e0521a9645f0e2a'}",26.2913998619,960081.067754593,0.281459,-0.449894,27.6592,52582799.7238,2020-03-25T15:53:04.000Z
4948,Nervos Network,CKB,nervos-network,21,2019-11-19T00:00:00.000Z,[],,13821931589.026,27147898885.8447,,0.00360710761402,4423276.57635669,-0.340107,-1.92567,22.3849,49857194.675239235,2020-03-25T15:53:15.000Z
109,DigiByte,DGB,digibyte,74,2014-02-06T00:00:00.000Z,['Mineable'],21000000000,12962878700.4858,12962878700.4858,,0.00374353935055,1113961.61260177,-0.579743,3.71128,23.7922,48527046.511675045,2020-03-25T15:53:03.000Z
1759,Status,SNT,status,81,2017-06-28T00:00:00.000Z,[],,3470483788,6804870174,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x744d70fdbe2ba4cf95131626614a1763df805b9e'}",0.0138795833449,30141573.1572355,-1.44611,-5.96893,57.9957,48168868.98267026,2020-03-25T15:53:06.000Z
3704,v.systems,VSYS,v-systems,38,2019-03-05T00:00:00.000Z,[],,1953847402,3868705866,,0.0245931211551,5220552.09980286,0.530328,0.892749,36.431,48051205.875963375,2020-03-25T15:53:12.000Z
1698,Horizen,ZEN,horizen,36,2017-06-01T00:00:00.000Z,['Mineable'],21000000,8706125,8706125,,5.33560884775,2536212.83723453,0.491391,-0.739075,14.8621,46452477.57961746,2020-03-25T15:53:04.000Z
3718,BitTorrent,BTT,bittorrent,136,2019-01-31T00:00:00.000Z,[],,212116500000,990000000000,"{'id': 1958, 'name': 'TRON', 'symbol': 'TRX', 'slug': 'tron', 'token_address': '1002000'}",0.000216818153729,58538786.4627152,0.112423,-1.23992,10.7442,45990707.90545743,2020-03-25T15:53:13.000Z
1903,HyperCash,HC,hypercash,33,2017-08-20T00:00:00.000Z,['Mineable'],84000000,44553626.689052,44553626.689052,,1.01515381656,22185234.1404616,0.969588,-0.0631082,13.7473,45228784.17498062,2020-03-25T15:53:05.000Z
463,BitShares,BTS,bitshares,79,2014-07-21T00:00:00.000Z,[],3600570502,2751010000,2751010000,,0.0163287440964,3206214.4128038,0.449176,-3.55296,16.5538,44920538.29663736,2020-03-25T15:53:03.000Z
1521,Komodo,KMD,komodo,24,2017-02-05T00:00:00.000Z,['Mineable'],200000000,118940692.34765,118940692.34765,,0.374518178705,1571833.56297575,0.0724265,-0.780302,25.1337,44545451.47195361,2020-03-25T15:53:04.000Z
4172,Terra,LUNA,terra-luna,13,2019-07-26T00:00:00.000Z,[],,287765804.430561,995859074.224591,,0.145278379724,3288331.5160553,-0.24084,-1.50986,16.3206,41806149.807645366,2020-03-25T15:53:14.000Z
3218,Energi,NRG,energi,9,2018-08-23T00:00:00.000Z,['Mineable'],,27354160.4608782,27354160.4608782,,1.50417656601,712110.293262035,0.257745,2.9065,38.1866,41145487.14813029,2020-03-25T15:53:10.000Z
693,Verge,XVG,verge,52,2014-10-25T00:00:00.000Z,['Mineable'],16555000000,16217057943.3634,16217057943.3634,,0.00243763700273,661821.617155135,-0.00456257,-0.0474231,24.3484,39531300.5181591,2020-03-25T15:53:03.000Z
372,Bytecoin,BCN,bytecoin-bcn,11,2014-06-17T00:00:00.000Z,['Mineable'],184470000000,184066828814.059,184066828814.059,,0.000214532997165,14835.4625069603,-0.115234,-6.90716,-0.167968,39488408.46413706,2020-03-25T15:53:03.000Z
2469,Zilliqa,ZIL,zilliqa,98,2018-01-25T00:00:00.000Z,['Mineable'],21000000000,9999300639.76463,13290767792.7646,,0.00387488233235,7422172.67339788,0.663631,0.28815,14.5455,38746113.384880014,2020-03-25T15:53:08.000Z
