id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,price_usd,volume_24h_usd,percent_change_1h_usd,percent_change_24h_usd,percent_change_7d_usd,market_cap_usd,last_updated_usd
1,Bitcoin,BTC,bitcoin,7733,2013-04-28T00:00:00.000Z,['Mineable'],21000000,18286125,18286125,,6638.63700691,46087543687.7389,0.224675,0.398127,27.9777,121394946137.98213,2020-03-25T16:01:37.000Z
1027,Ethereum,ETH,ethereum,5090,2015-08-07T00:00:00.000Z,['Mineable'],,110243588.374,110243588.374,,136.226468329,13758799718.5496,0.0862393,-0.562409,20.1516,15018094700.106024,2020-03-25T16:01:24.000Z
52,XRP,XRP,xrp,499,2013-08-04T00:00:00.000Z,[],100000000000,43906191900,99991030755,,0.160570376201,2080271816.28504,-0.0180282,-0.0822634,12.6249,7050033750.936299,2020-03-25T16:01:03.000Z
825,Tether,USDT,tether,4239,2015-02-25T00:00:00.000Z,[],,4642367414,4776930644,"{'id': 83, 'name': 'Omni', 'symbol': 'OMNI', 'slug': 'omni', 'token_address': '31'}",1.00196290373,53934634989.4358,0.188346,-0.1177,1.06354,4651479934.312971,2020-03-25T16:01:23.000Z
1831,Bitcoin Cash,BCH,bitcoin-cash,457,2017-07-23T00:00:00.000Z,['Mineable'],21000000,18350062.5,18350062.5,,219.269927018,3444542978.14439,0.167649,-1.85238,24.1221,4023616865.1507387,2020-03-25T16:01:03.000Z
3602,Bitcoin SV,BSV,bitcoin-sv,172,2018-11-09T00:00:00.000Z,['Mineable'],21000000,18347364.5819233,18347364.5819233,,171.205459909,2605859137.50911,-0.141321,-1.99447,48.9067,3141168991.3662763,2020-03-25T16:01:13.000Z
2,Litecoin,LTC,litecoin,570,2013-04-28T00:00:00.000Z,['Mineable'],84000000,64361143.2031291,64361143.2031291,,39.0543629209,3137236099.80496,0.00256806,-0.950942,17.271,2513583444.65902,2020-03-25T16:01:03.000Z
1765,EOS,EOS,eos,376,2017-07-01T00:00:00.000Z,[],,921053647.6394,1017753659.4379,,2.29483910232,2623862976.84159,-0.0199096,-1.18384,18.8572,2113669925.9373624,2020-03-25T16:01:03.000Z
1839,Binance Coin,BNB,binance-coin,306,2017-07-25T00:00:00.000Z,[],187536713,155536713,187536713,,12.2995550398,325146449.062486,0.0232549,0.700215,22.6373,1913032362.253076,2020-03-25T16:01:07.000Z
2011,Tezos,XTZ,tezos,71,2017-10-06T00:00:00.000Z,[],,704857432.781045,704857432.781045,,1.70721742072,151493389.29557,0.21061,-0.863962,28.2076,1203344888.3677764,2020-03-25T16:01:05.000Z
3957,UNUS SED LEO,LEO,unus-sed-leo,26,2019-05-21T00:00:00.000Z,[],,999498892.9,999498892.9,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3'}",1.01279057319,9261366.37690364,0.297258,-0.230021,7.08659,1012283056.6429614,2020-03-25T16:01:13.000Z
512,Stellar,XLM,stellar,283,2014-08-05T00:00:00.000Z,[],,20286516472.8902,50001803900.9717,,0.0398008763331,336210822.172901,-0.322447,0.140678,12.3604,807421133.3668989,2020-03-25T16:01:02.000Z
328,Monero,XMR,monero,142,2014-05-21T00:00:00.000Z,['Mineable'],,17496938.7885386,17496938.7885386,,45.9534271879,152946920.002069,-0.183262,0.394293,30.3159,804044302.6302518,2020-03-25T16:01:02.000Z
1975,Chainlink,LINK,chainlink,151,2017-09-20T00:00:00.000Z,[],,350000000,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",2.25166517756,277365863.144006,0.189631,-1.72542,22.3975,788082812.146,2020-03-25T16:01:07.000Z
2502,Huobi Token,HT,huobi-token,130,2018-02-03T00:00:00.000Z,[],,226294792.971921,500000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6f259637dcd74c767781e37bc6133cd6a68aa161'}",3.36299536807,161647348.32171,-0.0857774,-0.484232,16.0057,761028340.5829298,2020-03-25T16:01:09.000Z
2010,Cardano,ADA,cardano,125,2017-10-01T00:00:00.000Z,['Mineable'],45000000000,25927070538,31112483745,,0.0293431713508,83612305.7334392,-0.023095,-0.131788,17.1621,760782473.4208124,2020-03-25T16:01:06.000Z
1958,TRON,TRX,tron,323,2017-09-13T00:00:00.000Z,['Mineable'],,66682072191.4,99281283754.3,,0.0112853707232,1038332471.76871,-0.253152,-0.279757,14.3781,752531905.2711344,2020-03-25T16:01:09.000Z
3408,USD Coin,USDC,usd-coin,203,2018-10-08T00:00:00.000Z,[],,686550301.717229,691111435.61,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",0.998992439258,746221866.994783,0.151311,0.024389,1.24495,685858560.5858104,2020-03-25T16:01:12.000Z
131,Dash,DASH,dash,283,2014-02-14T00:00:00.000Z,['Mineable'],18900000,9399161.31206036,9399161.31206036,,67.2116926248,631518088.370584,-0.503541,-2.23897,32.5074,631733541.0371127,2020-03-25T16:01:02.000Z
3635,Crypto.com Coin,CRO,crypto-com-coin,41,2018-12-14T00:00:00.000Z,[],,14231050228.3105,100000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b'}",0.0435693659565,11272923.6196193,0.407072,2.33928,26.7099,620037835.3425931,2020-03-25T16:01:12.000Z
1321,Ethereum Classic,ETC,ethereum-classic,236,2016-07-24T00:00:00.000Z,['Mineable'],210000000,116313299,116313299,,5.09436408993,1802471683.80062,0.552154,2.68814,14.3709,592542293.606891,2020-03-25T16:01:07.000Z
1376,Neo,NEO,neo,219,2016-09-08T00:00:00.000Z,[],100000000,70538831,100000000,,6.82417267834,459373437.833904,-0.00345239,0.587964,24.5906,481369163.2722426,2020-03-25T16:01:03.000Z
3662,HedgeTrade,HEDG,hedgetrade,10,2019-01-03T00:00:00.000Z,[],,288208798.11353,1000000000.05,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xF1290473E210b2108A85237fbCd7b6eb42Cc654F'}",1.65800556885,445932.345460649,0.322953,2.03233,22.0481,477851792.26379806,2020-03-25T16:01:11.000Z
1720,IOTA,MIOTA,iota,53,2017-06-13T00:00:00.000Z,[],2779530283,2779530283,2779530283,,0.144425211004,11443384.1258328,0.0586478,1.59661,22.1648,401434247.6142828,2020-03-25T16:01:05.000Z
3794,Cosmos,ATOM,cosmos,118,2019-03-14T00:00:00.000Z,[],,190688439.2,237928230.821588,,2.08112003579,136049459.757026,0.15456,-1.52742,22.4527,396845531.41264325,2020-03-25T16:01:13.000Z
873,NEM,XEM,nem,93,2015-04-01T00:00:00.000Z,[],,8999999999,8999999999,,0.0382807924683,7509761.2865279,0.0886067,-3.47624,12.7394,344527132.1764192,2020-03-25T16:01:02.000Z
1437,Zcash,ZEC,zcash,219,2016-10-29T00:00:00.000Z,['Mineable'],21000000,9546206.25,9546206.25,,31.5845626919,275731746.195524,-0.244308,-2.48971,20.6737,301512749.7729326,2020-03-25T16:01:02.000Z
1518,Maker,MKR,maker,62,2017-01-29T00:00:00.000Z,[],,1002800.19961806,1002800.19961806,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2'}",270.432342216,4197835.37854499,-0.288839,-1.40273,30.7891,271189606.7573843,2020-03-25T16:01:02.000Z
3330,Paxos Standard,PAX,paxos-standard,93,2018-09-27T00:00:00.000Z,[],,262583082.087725,267583182.42,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x8e870d67f660d95d5be530380d0ec0bd388289e1'}",0.999845799607,936759446.469849,0.183929,0.0806146,1.1563,262542591.67327195,2020-03-25T16:01:11.000Z
3897,OKB,OKB,okb,46,2019-04-30T00:00:00.000Z,[],,60000000,300000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x75231f58b43240c9718dd58b4967c5114342a86c'}",4.34342141153,245752350.950456,0.170682,0.40104,25.2508,260605284.69179997,2020-03-25T16:01:13.000Z
2566,Ontology,ONT,ontology,114,2018-03-08T00:00:00.000Z,[],,642913241,1000000000,,0.372644687626,83953405.8364268,0.282933,-3.0113,17.1535,239578203.86306426,2020-03-25T16:01:08.000Z
4195,FTX Token,FTT,ftx-token,22,2019-07-31T00:00:00.000Z,[],,95764833.9327722,346637170,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9'}",2.45102063396,2943047.06668498,0.23374,-1.88378,19.387,234721583.97697744,2020-03-25T16:01:14.000Z
74,Dogecoin,DOGE,dogecoin,232,2013-12-15T00:00:00.000Z,['Mineable'],,123875054587.603,123875054587.603,,0.00182790264955,167646454.314114,0.0721326,-1.47542,16.0068,226431540.49383038,2020-03-25T16:01:02.000Z
1697,Basic Attention Token,BAT,basic-attention-token,159,2017-06-01T00:00:00.000Z,[],,1442592563.5663,1500000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0d8775f648430679a709e98d2b0cb6250d2887ef'}",0.149811968928,108691607.897356,-0.764464,5.13184,29.3409,216117632.30875838,2020-03-25T16:01:06.000Z
